,text1.txt,text2.txt,text3.txt,text4.txt
в,2,1,4,1
з,4,2,0,0
у,4,1,0,1
є,1,0,0,1
і,4,4,0,3
до,0,1,0,1
за,0,0,1,1
зі,0,3,0,0
на,2,0,0,3
та,3,3,0,1
то,0,0,1,0
це,0,0,1,0
що,4,0,1,0
як,0,0,0,1
із,0,0,0,1
її,2,0,0,0
або,2,0,0,2
але,0,0,0,1
всі,1,2,0,1
від,0,2,0,0
два,0,0,0,1
для,1,0,0,0
між,0,1,0,0
при,0,0,0,1
під,1,0,2,0
так,0,0,0,1
усі,1,0,0,0
час,0,0,1,0
яка,0,0,1,0
які,1,0,1,1
було,0,1,0,0
бути,1,0,0,1
вище,1,0,0,0
вищі,0,1,0,0
вона,0,0,0,2
вісь,1,0,0,0
долі,1,0,0,0
може,1,0,0,1
один,0,0,0,1
розм,1,0,0,0
тіло,0,1,0,0
фаза,0,0,1,0
фази,0,0,1,0
ході,0,1,1,0
цієї,0,1,0,0
який,1,0,0,0
яких,0,1,0,0
якої,0,0,1,0
якщо,0,0,1,1
якій,0,0,0,1
інші,1,0,0,0
бічні,1,0,0,0
вищих,0,1,0,0
генів,0,0,1,0
друга,0,0,1,0
землі,1,0,0,0
листя,0,1,0,0
можна,0,0,1,0
мікро,2,0,0,0
нижні,1,0,0,0
ньому,1,0,0,0
пагін,1,0,0,0
плоду,1,0,0,0
поява,1,0,0,0
появу,0,0,1,0
після,0,0,1,0
росту,1,0,0,0
собою,0,1,0,0
також,0,0,0,1
фазою,0,0,1,0
форма,1,0,1,0
цьому,0,0,0,1
часто,1,0,0,1
апекса,0,0,1,0
апексі,0,0,2,0
верхня,0,0,0,1
квітка,2,0,0,3
квітки,3,1,1,1
квіток,1,0,0,0
квітці,2,0,0,0
конусі,0,0,1,0
можуть,0,0,0,1
органи,0,2,0,1
пагона,0,0,0,1
першої,0,0,1,0
плодів,1,0,0,0
повній,1,0,0,0
рослин,2,3,0,0
різною,1,0,0,0
сильно,0,0,0,1
систем,0,2,0,0
стебла,2,1,2,1
теорії,0,1,0,0
цвіток,1,0,0,0
широке,1,0,0,0
бічного,0,0,0,1
бічному,0,1,0,0
вербена,0,0,0,1
виникли,0,3,0,0
впливом,0,0,1,0
віночка,1,0,0,0
віночок,1,0,0,0
головне,1,0,0,0
завдяки,0,1,0,0
зародка,1,0,0,0
квіткою,2,0,0,0
коріння,0,1,0,0
листків,0,1,0,0
маточка,2,0,0,1
маточки,0,1,0,1
мезомів,0,1,0,0
назвати,0,0,1,0
насіння,1,0,0,0
органом,0,0,0,1
органів,1,1,0,0
основні,0,1,0,0
осьових,0,1,0,0
поділів,0,0,1,0
простих,0,1,0,0
процеси,0,0,1,0
процесу,1,0,0,0
процесі,1,0,0,0
рослини,0,1,0,0
сидячих,1,0,0,0
сидячою,0,0,0,1
система,1,0,0,0
складна,1,0,0,0
стимулу,0,0,1,0
теломів,0,7,0,0
тичинки,2,1,0,1
частина,1,0,0,1
частини,2,1,0,3
частину,1,0,0,0
чашечки,1,0,0,0
чашечку,1,0,0,0
безлиста,1,0,0,0
верхівці,0,0,0,1
відсутня,1,0,0,1
відсутні,0,0,0,1
евокація,0,0,2,0
евокації,0,0,1,0
еволюції,1,1,0,0
зрощених,0,1,0,0
зрощенню,0,1,0,0
зрощення,0,1,0,0
конюшина,0,0,0,1
коренями,0,1,0,0
листками,1,0,0,0
наступає,0,0,1,0
насінням,1,0,0,0
оцвітину,1,0,0,0
пагонами,0,1,0,0
пелюстки,1,0,0,1
походять,0,2,0,0
програму,0,0,1,0
редукції,0,1,0,0
розвиток,1,0,0,0
системою,0,1,0,0
стеблову,1,0,0,0
формують,1,0,0,0
цвітіння,0,0,2,0
ароморфоз,1,0,0,0
вкорочена,1,0,0,1
вкорочену,1,0,0,0
головного,0,0,0,1
допомогою,0,0,0,1
експресія,0,0,1,0
елементів,0,0,1,0
запилення,2,0,0,0
здатністю,1,0,0,0
квіткових,2,0,0,0
клітинних,0,0,1,0
кількість,0,0,1,0
листковою,0,0,1,0
листкової,0,0,0,1
маленьких,0,0,0,1
насінневе,1,0,0,0
незалежно,0,2,0,0
обмеженою,1,0,0,0
приквітки,0,0,0,1
проходять,1,0,0,0
підземних,0,1,0,0
розширена,0,0,0,1
сплощених,0,1,0,0
сплощення,0,1,0,0
статевого,1,0,0,0
стеблової,0,0,0,1
утворення,2,0,0,0
утворюють,2,0,0,0
ініціації,0,0,2,0
апікальним,0,0,0,1
відповідно,0,1,0,0
дводольних,0,0,0,1
забезпечив,1,0,0,0
забезпечує,1,0,0,0
закінчення,0,0,1,0
зачаткових,0,0,1,0
змінюється,0,0,1,0
квітколожа,1,0,0,0
квітколоже,1,0,0,1
наростання,0,0,1,0
насіннєвих,0,1,0,0
переходить,1,0,0,0
подорожник,0,0,0,1
приймочкою,1,0,0,0
результаті,0,1,0,0
риніофітів,0,1,0,0
розселення,1,0,0,0
справжніми,0,1,0,0
сприйняття,0,0,1,0
укорочений,1,0,0,0
формується,1,0,0,0
чашолистки,1,0,0,1
верхівковим,0,0,0,1
двостатевій,1,0,0,0
дихотомічно,0,1,0,0
завершальна,0,0,1,0
запліднення,1,0,0,0
квітколожем,0,0,0,1
квітконіжка,2,0,0,2
квітконіжки,0,0,0,2
квітконіжці,0,0,0,1
називається,1,0,0,2
обумовлюють,0,0,1,0
однодольних,0,0,0,1
передлистки,0,0,0,1
призначений,1,0,0,0
розмноження,1,0,0,0
розташовані,2,0,0,0
складається,1,0,0,1
спороносних,0,1,0,0
флорального,0,0,1,0
фотоперіоду,0,0,1,0
індукується,0,0,1,0
вегетативних,0,1,0,0
видозмінений,1,0,0,0
відбуваються,0,0,1,0
відповідають,0,0,1,0
генеративної,0,0,0,1
закінчується,1,0,0,0
збільшується,0,0,1,0
квітконіжкою,1,0,0,0
представлено,0,1,0,0
реалізується,0,0,1,0
розвиваються,0,1,0,0
розгалужених,0,1,0,0
циліндричних,0,1,0,0
еволюціонували,0,1,0,0
мегаспорогенез,1,0,0,0
морфогенетичну,0,0,1,0
нерозгалужений,1,0,0,0
прикріплюється,0,0,0,1
розташовуються,0,0,0,2
квіткоутворення,0,0,1,0
мегагаметогенез,1,0,0,0
покритонасінних,2,1,0,0
розташовуватися,0,0,0,1
перевершинювання,0,1,0,0
метаморфізованими,1,0,0,0
